stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,"Metro/RTP, St. John & 117 St John","",43.647796,-70.278476,1,,0,
2,"St. John & D (I)","",43.649786,-70.278860,1,,0,
3,"St. John & C","",43.651028,-70.278904,1,,0,
4,"St. John & A","",43.652800,-70.279254,1,,0,
5,"Congress & St. John","",43.653771,-70.278111,1,,0,
7,"Congress & Weymouth (I)","",43.654882,-70.275443,1,,0,
9,"Congress & Bramhall (O)","",43.653941,-70.272653,1,,0,
11,"Congress & Walker (O)","",43.653023,-70.269721,1,,0,
12,"Congress & State, Longfellow Square (O)","",43.653083,-70.266457,1,,0,
13,"Congress & Park, Lafayette Square (O)","",43.653317,-70.265060,1,,0,
14,"Congress & Congress Square (I)","",43.654324,-70.262652,1,,0,
15,"Congress & MECA (I)","",43.655919,-70.260980,1,,0,
16,"Congress & Center, Monument Square (O)","",43.656857,-70.259771,1,,0,
18,"Congress & Exchange, Press Herald","",43.659024,-70.256626,1,,0,
19,"Congress & Lincoln Park (O)","",43.660055,-70.254939,1,,0,
20,"Congress & Franklin (O)","",43.660984,-70.253674,1,,0,
21,"Congress & India, North School","",43.662467,-70.251870,1,,0,
23,"Congress & Sheridan (O)","",43.664641,-70.249230,1,,0,
24,"North & Cumberland","",43.666157,-70.248648,1,,0,
25,"North & Quebec","",43.667508,-70.250075,1,,0,
26,"North & Walnut","",43.668801,-70.251450,1,,0,
27,"North & E. Promenade","",43.671161,-70.253955,1,,0,
28,"E. Promenade & Walnut","",43.670610,-70.249079,1,,0,
29,"E. Promenade & Melbourne","",43.670248,-70.247852,1,,0,
31,"E. Promenade & Turner","",43.669606,-70.245827,1,,0,
32,"E. Promenade & Congress","",43.668693,-70.244113,1,,0,
33,"E. Promenade & Moody","",43.667848,-70.242784,1,,0,
34,"E. Promenade & Vesper","",43.665436,-70.241728,1,,0,
35,"Atlantic & 27 Atlantic","",43.664846,-70.244202,1,,0,
36,"Atlantic & Wilson","",43.665355,-70.245064,1,,0,
37,"Atlantic & Monument","",43.666030,-70.246215,1,,0,
38,"Congress & Lafayette","",43.666360,-70.247425,1,,0,
39,"Congress & Kellogg (I)","",43.665105,-70.248975,1,,0,
40,"Congress & Washington (I)","",43.663165,-70.251258,1,,0,
41,"Congress & India (I)","",43.662256,-70.252381,1,,0,
43,"Congress & Lincoln Park (I)","",43.660102,-70.255114,1,,0,
45,"Congress & 2 Monument Sq","",43.657968,-70.258238,1,,0,
46,"Congress & 511 Congress (I)","",43.656208,-70.260873,1,,0,
47,"Congress & Forest  (I)","",43.654801,-70.262372,1,,0,
48,"Congress & Park, Lafayette Square (I)","",43.653494,-70.264954,1,,0,
49,"Congress & State, Longfellow Square (I)","",43.653126,-70.267624,1,,0,
50,"Congress & Mellen  (I)","",43.653153,-70.269664,1,,0,
52,"Congress & Deering (I)","",43.653942,-70.272272,1,,0,
54,"Congress & Weymouth (O)","",43.654712,-70.275558,1,,0,
55,"Congress & Forest St. (I)","",43.654271,-70.277145,1,,0,
56,"Congress & St John (I)","",43.653827,-70.278554,1,,0,
57,"St. John & Union Station","",43.652074,-70.279324,1,,0,
59,"St. John & D (O)","",43.649412,-70.278602,1,,0,
61,"Metro Garage (I)","",43.645943,-70.278157,1,,0,
63,"Oxford & 237 Oxford (O)","",43.659221,-70.261609,1,,0,
64,"Oxford & Alder (O)","",43.658593,-70.262648,1,,0,
65,"Portland Post Office (O)","",43.657819,-70.266012,1,,0,
66,"Forest & US Post Office (O)","",43.658826,-70.266951,1,,0,
67,"Forest & Baxter @ Portland Housing (O)","",43.663606,-70.272532,1,,0,
68,"Forest & Preble St Extension (O)","",43.664919,-70.274654,1,,0,
69,"Forest & Deerfield Rd. (O)","",43.665641,-70.275834,1,,0,
70,"Forest & Forest Ave Plaza (O)","",43.666555,-70.277318,1,,0,
71,"Forest & 509 Forest (O)","",43.667526,-70.278894,1,,0,
72,"550 Forest, Social Security (O)","",43.668593,-70.280625,1,,0,
73,"Forest & Arlington (O)","",43.669550,-70.282161,1,,0,
74,"Woodford's Corner (O)","",43.670566,-70.283891,1,,0,
75,"Forest & Vannah","",43.671653,-70.284539,1,,0,
76,"Forest & Pleasant (O)","",43.673446,-70.285463,1,,0,
77,"Forest & Hartley (O)","",43.675295,-70.286478,1,,0,
78,"Forest & 835 Forest Ave, Baxter Woods (O)","",43.676620,-70.287173,1,,0,
79,"Forest & Deering Pavilion (O)","",43.678556,-70.288199,1,,0,
80,"Forest & Walton (O)","",43.679967,-70.288944,1,,0,
81,"Forest & 999 Forest Ave, Sweetser (O)","",43.681984,-70.290050,1,,0,
82,"Forest & 1037 Forest Ave (O)","",43.682985,-70.290597,1,,0,
83,"Forest & Bell, Unitil (O)","",43.684097,-70.291173,1,,0,
84,"Forest & 1109 Forest Ave (O)","",43.685283,-70.291798,1,,0,
85,"Morrill's Corner (O)","",43.686760,-70.292594,1,,0,
87,"Forest & Allen, Subway (O)","",43.688999,-70.294360,1,,0,
88,"Forest & Avalon, Princeton Pines (O)","",43.691809,-70.299320,1,,0,
89,"Forest & Wall (O)","",43.693484,-70.301320,1,,0,
90,"Forest & Homestead (O)","",43.694327,-70.302423,1,,0,
91,"Forest & Libby (O)","",43.695229,-70.303804,1,,0,
92,"Forest & Westlawn (O)","",43.696069,-70.305211,1,,0,
93,"Forest & Harris (O)","",43.696693,-70.306336,1,,0,
94,"Forest & Newton, Riverton School (O)","",43.697332,-70.307554,1,,0,
95,"Forest & Farnham (O)","",43.698306,-70.309497,1,,0,
96,"Forest & Bailey (O)","",43.698848,-70.311575,1,,0,
97,"Forest & Tucker (O)","",43.699205,-70.313037,1,,0,
98,"Forest & Riverside Ind Parkway (O)","",43.699379,-70.314520,1,,0,
99,"Forest & Friends Church (O)","",43.700024,-70.317875,1,,0,
100,"Forest & Riverton (O)","",43.700598,-70.320329,1,,0,
101,"Bridgton & E. Bridge (O)","",43.704321,-70.325723,1,,0,
102,"Bridgton & Reed, Corsetti's (O)","",43.707103,-70.327636,1,,0,
104,"Bridgton & Villa  (O)","",43.709238,-70.329323,1,,0,
105,"First Evangelical Church  (O)","",43.712196,-70.332000,1,,0,
106,"Pride's Corner","",43.715934,-70.334548,1,,0,
107,"Pride & Bridgton (I)","",43.713137,-70.334363,1,,0,
108,"Pride & Prides Corner School (I)","",43.711565,-70.335753,1,,0,
110,"Pride & Pride Corner Church (I)","",43.708520,-70.337992,1,,0,
111,"Pride & 147 Pride (I)","",43.706740,-70.339649,1,,0,
112,"Pride & 36 Pride (I)","",43.704540,-70.340989,1,,0,
113,"Austin & Woodland (I)","",43.700443,-70.339574,1,,0,
114,"Austin & E Bridge (I)","",43.697080,-70.339333,1,,0,
115,"E Bridge & Millbrook (I)","",43.696851,-70.344780,1,,0,
116,"E Bridge & Independence (I)","",43.696724,-70.336763,1,,0,
117,"E Bridge & Constitution (I)","",43.697426,-70.335067,1,,0,
118,"E Bridge & Carlson (I)","",43.698628,-70.331660,1,,0,
119,"E Bridge & Bridgton (I)","",43.703704,-70.325572,1,,0,
120,"Forest & Riverton (I)","",43.700133,-70.319706,1,,0,
121,"Forest & Wellesly Estates (I)","",43.699824,-70.318033,1,,0,
123,"Forest & Tucker (I)","",43.699037,-70.313294,1,,0,
124,"Forest & Bailey (I)","",43.698683,-70.311465,1,,0,
125,"Forest & Farnham (I)","",43.698189,-70.309525,1,,0,
126,"Forest & Newton, Riverton School (I)","",43.697258,-70.307732,1,,0,
127,"Forest & Belfort (I)","",43.696498,-70.306309,1,,0,
128,"Forest & Commonwealth (I)","",43.695839,-70.305132,1,,0,
129,"Forest & Forest Glen (I)","",43.695028,-70.303820,1,,0,
130,"Forest & Homestead (I)","",43.694236,-70.302597,1,,0,
131,"Forest & Wall (I)","",43.693363,-70.301440,1,,0,
132,"Forest & Avalon (I)","",43.691882,-70.299679,1,,0,
133,"Forest & Forest Ave Apartments (I)","",43.689949,-70.296717,1,,0,
134,"Forest & 1250 Forest Ave, Affiliated Labs (I)","",43.689247,-70.295351,1,,0,
135,"Morrill's Corner (I)","",43.685930,-70.292372,1,,0,
136,"Forest & Poland (I)","",43.684406,-70.291584,1,,0,
137,"Forest & Waverly  (I)","",43.683152,-70.290897,1,,0,
138,"Forest & Tremaine (I)","",43.681597,-70.290058,1,,0,
139,"Forest & Walton (I)","",43.680013,-70.289203,1,,0,
140,"Forest & Deering Pavilion (I)","",43.678608,-70.288449,1,,0,
142,"Forest & Hartley (I)","",43.675460,-70.286794,1,,0,
143,"Forest & Pleasant (I)","",43.673534,-70.285749,1,,0,
144,"Woodword's Corner Dunkin Donuts (I)","",43.670729,-70.284547,1,,0,
145,"Forest & Lincoln (I)","",43.669320,-70.282363,1,,0,
146,"550 Forest, Social Security (I)","",43.668387,-70.280703,1,,0,
147,"Forest & Dartmouth (I)","",43.666880,-70.278279,1,,0,
148,"Forest & William, Forest Ave Plaza (I)","",43.666023,-70.276875,1,,0,
149,"Forest & Falmouth (I)","",43.664756,-70.274896,1,,0,
150,"Forest & Bedford (I)","",43.663484,-70.272745,1,,0,
151,"Forest & High (I)","",43.658968,-70.267347,1,,0,
152,"Forest & Park Ave, Post Office (I)","",43.657993,-70.266553,1,,0,
153,"Forest & Congress (I)","",43.654894,-70.262884,1,,0,
654,"Metro Pulse","",43.658200,-70.259276,1,,0,
154,"Preble & Cumberland (O)","",43.658107,-70.260783,1,,0,
156,"Park & Portland Expo (O)","",43.655938,-70.277371,1,,0,
157,"Park & St. John","",43.655891,-70.280111,1,,0,
158,"Park & Marston, Hood","",43.655871,-70.282367,1,,0,
159,"Congress & Massachusetts, Douglas St (O)","",43.656909,-70.288522,1,,0,
160,"Congress & Whitney (O)","",43.657759,-70.291026,1,,0,
161,"Congress & Edwards (O)","",43.658294,-70.293033,1,,0,
162,"Westgate (O)","",43.658688,-70.294610,1,,0,
163,"Stevens & Congress  (O)","",43.659619,-70.296859,1,,0,
164,"Stevens & Capisic St @ Anson  (O)","",43.662410,-70.297841,1,,0,
165,"Stevens & Brighton (O)","",43.666171,-70.295845,1,,0,
166,"Stevens & Prospect (O)","",43.667706,-70.295335,1,,0,
167,"Stevens & Rackleff (O)","",43.669025,-70.294897,1,,0,
168,"Stevens & Higgins (O)","",43.670656,-70.294873,1,,0,
169,"Stevens & Orkney (O)","",43.671561,-70.294980,1,,0,
170,"Stevens & Concord, Longfellow School (O)","",43.673494,-70.295184,1,,0,
171,"Stevens & Pleasant (O)","",43.674381,-70.295121,1,,0,
172,"Stevens & Hartley (O)","",43.675728,-70.294732,1,,0,
173,"Stevens & Crosby, Baxter Woods (O)","",43.677064,-70.294519,1,,0,
174,"Stevens & St. Josephs Convent (O)","",43.679641,-70.294174,1,,0,
175,"Stevens & Mcauley H.S. (O)","",43.680428,-70.294096,1,,0,
176,"Stevens & St. Josephs Church (O)","",43.681225,-70.293976,1,,0,
177,"Stevens & Elmwood, UNE (O)","",43.682558,-70.293826,1,,0,
178,"Stevens & Poland, Park Danforth (O)","",43.684477,-70.293569,1,,0,
179,"Stevens & Forest (O)","",43.686723,-70.293300,1,,0,
180,"Morrill's Corner (O)","",43.689121,-70.293475,1,,0,
181,"Allen & Woodlawn (O)","",43.691195,-70.292935,1,,0,
182,"Allen & Yale, Seventh Day Adventist (O)","",43.691920,-70.292724,1,,0,
183,"Northfield Green, Allen & Plymouth (O)","",43.693585,-70.292280,1,,0,
184,"Casco Bay High School, PATHS (O)","",43.695419,-70.291453,1,,0,
185,"Allen & Knight (O)","",43.697623,-70.289734,1,,0,
186,"Allen's Corner, Abbott St","",43.698285,-70.289217,1,,0,
188,"Northgate Plaza (O)","",43.702506,-70.289111,1,,0,
190,"Auburn & Lyseth Moore (O)","",43.706226,-70.289954,1,,0,
191,"Auburn & Bartley, Brookfield Apartments (O)","",43.708254,-70.290435,1,,0,
192,"Auburn & Rustic, North Deering Gardens (O)","",43.709604,-70.290766,1,,0,
193,"Auburn & Christy (O)","",43.710612,-70.291011,1,,0,
194,"Auburn & Summit Park (O)","",43.712258,-70.291427,1,,0,
195,"Auburn & Jackson (O)","",43.713507,-70.291761,1,,0,
196,"Auburn & Hillside (O)","",43.715770,-70.292253,1,,0,
197,"Auburn & Summit (O)","",43.718126,-70.292801,1,,0,
198,"Auburn & Longview Dr (O)","",43.719356,-70.293077,1,,0,
