route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2,1,360,"Prides Corner / Metro Pulse",,,1
2,1,361,"Prides Corner / Metro Pulse",,,20
2,1,362,"Prides Corner / Metro Pulse",,,21
2,1,363,"Prides Corner / Metro Pulse",,,22
2,1,364,"Prides Corner / Metro Pulse",,,23
2,1,365,"Prides Corner / Metro Pulse",,,24
2,1,366,"Prides Corner / Metro Pulse",,,25
2,1,367,"Prides Corner / Metro Pulse",,,26
2,1,368,"Prides Corner / Metro Pulse",,,27
2,1,369,"Prides Corner / Metro Pulse",,,28
2,1,370,"Prides Corner / Metro Pulse",,,29
2,1,371,"Prides Corner / Metro Pulse",,,30
2,1,372,"Prides Corner / Metro Pulse",,,31
2,1,373,"Prides Corner / Metro Pulse",,,32
2,1,374,"Prides Corner / Metro Pulse",,,33
2,1,375,"Prides Corner / Metro Pulse",,,34
2,1,376,"Prides Corner / Metro Pulse",,,35
2,1,377,"Prides Corner / Metro Pulse",,,36
2,1,378,"Prides Corner / Metro Pulse",,,37
2,1,379,"Prides Corner / Metro Pulse",,,38
2,1,380,"Prides Corner / Metro Pulse",,,39
2,1,381,"Prides Corner / Metro Pulse",,,2
2,1,382,"Prides Corner / Metro Pulse",,,3
2,1,383,"Prides Corner / Metro Pulse",,,4
2,1,384,"Prides Corner / Metro Pulse",,,5
2,1,385,"Prides Corner / Metro Pulse",,,6
2,1,386,"Prides Corner / Metro Pulse",,,7
2,1,387,"Prides Corner / Metro Pulse",,,8
2,1,388,"Prides Corner / Metro Pulse",,,9
2,1,389,"Prides Corner / Metro Pulse",,,10
2,1,390,"Prides Corner / Metro Pulse",,,11
2,1,391,"Prides Corner / Metro Pulse",,,12
2,1,392,"Prides Corner / Metro Pulse",,,13
2,1,393,"Prides Corner / Metro Pulse",,,14
2,1,394,"Prides Corner / Metro Pulse",,,15
2,1,395,"Prides Corner / Metro Pulse",,,16
2,1,396,"Prides Corner / Metro Pulse",,,17
2,1,397,"Prides Corner / Metro Pulse",,,18
2,1,398,"Prides Corner / Metro Pulse",,,19
2,1,399,"Prides Corner / Metro Pulse",,,40
3,1,424,"North Deering / Metro Pulse",,,41
3,1,425,"North Deering / Metro Pulse",,,44
3,1,426,"North Deering / Metro Pulse",,,45
3,1,427,"North Deering / Metro Pulse",,,46
3,1,428,"North Deering / Metro Pulse",,,47
3,1,429,"North Deering / Metro Pulse",,,48
3,1,430,"North Deering / Metro Pulse",,,49
3,1,431,"North Deering / Metro Pulse",,,50
3,1,432,"North Deering / Metro Pulse",,,51
3,1,433,"North Deering / Metro Pulse",,,52
3,1,434,"North Deering / Metro Pulse",,,53
3,1,435,"North Deering / Metro Pulse",,,54
3,1,436,"North Deering / Metro Pulse",,,55
3,1,437,"North Deering / Metro Pulse",,,56
3,1,438,"North Deering / Metro Pulse",,,57
3,1,439,"North Deering / Metro Pulse",,,58
3,1,440,"North Deering / Metro Pulse",,,59
3,1,441,"North Deering / Metro Pulse",,,60
3,1,442,"North Deering / Metro Pulse",,,61
