trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
249,06:35:00,06:35:00,357,1,,0,0,
249,,,373,2,,0,0,
249,,,371,3,,0,0,
249,,,369,4,,0,0,
249,,,367,5,,0,0,
249,,,365,6,,0,0,
249,06:37:00,06:37:00,329,7,,0,0,
250,07:00:00,07:00:00,19,1,,0,0,
250,,,358,2,,0,0,
250,,,331,3,,0,0,
250,,,332,4,,0,0,
250,,,333,5,,0,0,
250,,,334,6,,0,0,
250,,,336,7,,0,0,
250,,,337,8,,0,0,
250,,,335,9,,0,0,
250,,,338,10,,0,0,
250,07:10:00,07:10:00,435,11,,0,0,
250,,,343,12,,0,0,
250,,,342,13,,0,0,
250,,,344,14,,0,0,
250,,,341,15,,0,0,
250,,,345,16,,0,0,
250,07:15:00,07:15:00,340,17,,0,0,
250,,,346,18,,0,0,
250,,,348,19,,0,0,
250,,,350,20,,0,0,
250,,,349,21,,0,0,
250,,,351,22,,0,0,
250,,,352,23,,0,0,
250,,,355,24,,0,0,
250,,,356,25,,0,0,
250,07:20:00,07:20:00,357,26,,0,0,
250,,,373,27,,0,0,
250,,,371,28,,0,0,
250,,,369,29,,0,0,
250,,,367,30,,0,0,
250,,,365,31,,0,0,
250,07:22:00,07:22:00,329,32,,0,0,
251,07:45:00,07:45:00,19,1,,0,0,
251,,,358,2,,0,0,
251,,,331,3,,0,0,
251,,,332,4,,0,0,
251,,,333,5,,0,0,
251,,,334,6,,0,0,
251,,,336,7,,0,0,
251,,,337,8,,0,0,
251,,,335,9,,0,0,
251,,,338,10,,0,0,
251,07:55:00,07:55:00,435,11,,0,0,
251,,,343,12,,0,0,
251,,,342,13,,0,0,
251,,,344,14,,0,0,
251,,,341,15,,0,0,
251,,,345,16,,0,0,
251,08:00:00,08:00:00,340,17,,0,0,
251,,,346,18,,0,0,
251,,,348,19,,0,0,
251,,,350,20,,0,0,
251,,,349,21,,0,0,
251,,,351,22,,0,0,
251,,,352,23,,0,0,
251,,,355,24,,0,0,
251,,,356,25,,0,0,
251,08:05:00,08:05:00,357,26,,0,0,
