route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,249,"Outbound",,,1
1,1,250,"Outbound",,,2
1,1,251,"Outbound",,,3
1,1,252,"Outbound",,,4
1,1,253,"Outbound",,,5
1,1,254,"Outbound",,,6
1,1,255,"Outbound",,,7
1,1,256,"Outbound",,,8
1,1,257,"Outbound",,,9
1,1,258,"Outbound",,,10
1,1,259,"Outbound",,,11
1,1,260,"Outbound",,,13
1,1,261,"Outbound",,,14
1,1,263,"Outbound",,,15
1,1,264,"Outbound",,,16
1,1,265,"Outbound",,,17
1,1,266,"Outbound",,,18
1,1,267,"Outbound",,,19
1,1,268,"Outbound",,,20
1,1,269,"Outbound",,,21
1,1,303,"Outbound",,,12
3,1,306,"Outbound",,,22
3,1,307,"Outbound",,,23
3,1,308,"Outbound",,,24
3,1,309,"Outbound",,,25
3,1,310,"Outbound",,,26
3,1,311,"Outbound",,,27
3,1,312,"Outbound",,,28
3,1,313,"Outbound",,,29
3,1,314,"Outbound",,,30
3,1,315,"Outbound",,,31
3,1,316,"Outbound",,,32
3,1,317,"Outbound",,,33
3,1,318,"Outbound",,,34
1,2,341,"Inbound",,,35
1,2,343,"Inbound",,,36
1,2,344,"Inbound",,,37
1,2,345,"Inbound",,,38
1,2,346,"Inbound",,,39
1,2,347,"Inbound",,,40
1,2,348,"Inbound",,,41
1,2,349,"Inbound",,,42
1,2,350,"Inbound",,,43
3,1,363,"Inbound",,,44
3,1,364,"Inbound",,,45
3,1,365,"Inbound",,,46
3,1,366,"Inbound",,,47
3,1,367,"Inbound",,,48
3,1,368,"Inbound",,,49
3,1,369,"Inbound",,,50
3,1,370,"Inbound",,,51
3,1,371,"Inbound",,,52
3,1,372,"Inbound",,,53
3,1,373,"Inbound",,,54
3,1,374,"Inbound",,,55
2,1,375,"Outbound",,,56
2,1,376,"Outbound",,,57
2,1,377,"Outbound",,,58
2,1,378,"Outbound",,,59
2,1,379,"Outbound",,,60
2,1,380,"Outbound",,,61
2,1,381,"Outbound",,,62
2,1,382,"Outbound",,,63
2,1,402,"Inbound",,,64
2,1,403,"Inbound",,,65
2,1,404,"Inbound",,,66
2,1,405,"Inbound",,,67
2,1,406,"Inbound",,,68
2,1,407,"Inbound",,,69
2,1,408,"Inbound",,,70
2,1,409,"Inbound",,,71
2,1,410,"Inbound",,,72
3,2,411,"Outbound",,,73
3,2,412,"Outbound",,,74
3,2,413,"Outbound",,,75
3,2,414,"Outbound",,,76
3,2,415,"Outbound",,,77
3,2,416,"Outbound",,,78
3,2,417,"Outbound",,,79
3,2,424,"Inbound",,,80
3,2,425,"Inbound",,,81
3,2,426,"Inbound",,,82
3,2,427,"Inbound",,,83
3,2,428,"Inbound",,,84
3,2,429,"Inbound",,,85
3,2,430,"Inbound",,,86
1,2,436,"Outbound",,,87
1,2,437,"Outbound",,,88
1,2,438,"Outbound",,,89
1,2,439,"Outbound",,,90
1,2,440,"Outbound",,,91
1,2,441,"Outbound",,,92
1,2,442,"Outbound",,,93
1,2,443,"Outbound",,,94
1,2,444,"Outbound",,,95
1,2,445,"Outbound",,,96
1,1,458,"Inbound",,,97
1,1,459,"Inbound",,,98
1,1,460,"Inbound",,,99
1,1,461,"Inbound",,,100
1,1,462,"Inbound",,,101
1,1,463,"Inbound",,,102
1,1,464,"Inbound",,,103
1,1,465,"Inbound",,,104
1,1,466,"Inbound",,,105
1,1,467,"Inbound",,,106
1,1,468,"Inbound",,,107
1,1,469,"Inbound",,,108
1,1,470,"Inbound",,,109
1,1,471,"Inbound",,,110
1,1,473,"Inbound",,,111
1,1,474,"Inbound",,,112
1,1,475,"Inbound",,,113
1,1,476,"Inbound",,,114
1,1,477,"Inbound",,,115
1,1,478,"Inbound",,,116
1,1,479,"Inbound",,,117
